l_orderkey | l_partkey | l_suppkey | l_linenumber | l_quantity | l_extendedprice | l_discount | l_tax | l_returnflag | l_linestatus | l_shipdate | l_commitdate | l_receiptdate | l_shipinstruct | l_shipmode | l_comment
24385 | 167862 | 5411 | 1 | 49 | 94563.14 | 0.05 | 0.01 | R | F | 1993-03-20 | 1993-03-03 | 1993-04-05 | NONE | TRUCK |  grouches. quickly iro
26499 | 11217 | 8721 | 1 | 11 | 12410.31 | 0.06 | 0.08 | R | F | 1993-03-20 | 1993-04-12 | 1993-04-03 | DELIVER IN PERSON | TRUCK | ests are fluffily. slyly ironic packages bo
28261 | 45640 | 3153 | 3 | 15 | 23784.6 | 0.00 | 0.03 | A | F | 1993-03-20 | 1993-01-23 | 1993-03-21 | COLLECT COD | REG AIR | ymptotes cajole care
29156 | 38968 | 8969 | 3 | 40 | 76278.4 | 0.07 | 0.02 | R | F | 1993-03-20 | 1993-05-12 | 1993-03-22 | NONE | SHIP |  packages 
32164 | 35732 | 5733 | 7 | 3 | 5003.19 | 0.01 | 0.03 | A | F | 1993-03-20 | 1993-03-27 | 1993-04-16 | DELIVER IN PERSON | MAIL | inst the furiously permane
34948 | 5717 | 718 | 3 | 35 | 56794.85 | 0.00 | 0.07 | R | F | 1993-03-20 | 1993-04-06 | 1993-04-14 | NONE | SHIP | y unusual instruc
35139 | 69945 | 2452 | 2 | 28 | 53618.32 | 0.02 | 0.01 | R | F | 1993-03-20 | 1993-03-23 | 1993-04-14 | TAKE BACK RETURN | FOB | ake slyly ironic i
35300 | 191086 | 1087 | 2 | 49 | 57676.92 | 0.04 | 0.02 | A | F | 1993-03-20 | 1993-04-28 | 1993-04-08 | NONE | AIR | coys hinder carefully iro
35300 | 133394 | 8421 | 4 | 37 | 52813.43 | 0.03 | 0.03 | R | F | 1993-03-20 | 1993-04-27 | 1993-04-07 | TAKE BACK RETURN | MAIL | al deposits al
36836 | 24152 | 6655 | 1 | 28 | 30132.2 | 0.01 | 0.04 | A | F | 1993-03-20 | 1993-04-19 | 1993-04-02 | COLLECT COD | RAIL | regular excuses promise quietly. pendin
37125 | 199402 | 4441 | 2 | 26 | 39036.4 | 0.08 | 0.08 | A | F | 1993-03-20 | 1993-03-04 | 1993-04-10 | NONE | FOB | special ideas 
38369 | 71662 | 9184 | 3 | 24 | 39207.84 | 0.10 | 0.08 | R | F | 1993-03-20 | 1993-03-01 | 1993-04-14 | COLLECT COD | SHIP | ly ironic pinto
38979 | 42658 | 2659 | 4 | 3 | 4801.95 | 0.01 | 0.07 | R | F | 1993-03-20 | 1993-04-23 | 1993-04-03 | NONE | REG AIR | ly bold requests. blithely pendin
41671 | 2646 | 5147 | 2 | 47 | 72786.08 | 0.04 | 0.06 | A | F | 1993-03-20 | 1993-02-06 | 1993-03-23 | COLLECT COD | REG AIR | ole above the express, ironic deposits? pe
44098 | 161753 | 6786 | 5 | 18 | 32665.5 | 0.08 | 0.01 | A | F | 1993-03-20 | 1993-03-29 | 1993-03-31 | TAKE BACK RETURN | RAIL | gular deposit
47171 | 11836 | 4338 | 5 | 17 | 29713.11 | 0.07 | 0.08 | R | F | 1993-03-20 | 1993-02-13 | 1993-04-14 | TAKE BACK RETURN | RAIL | usly bold packages unwind carefull
49632 | 165842 | 3391 | 2 | 20 | 38156.8 | 0.02 | 0.01 | R | F | 1993-03-20 | 1993-01-15 | 1993-03-24 | COLLECT COD | AIR | gular package
49798 | 188433 | 952 | 5 | 35 | 53250.05 | 0.05 | 0.01 | A | F | 1993-03-20 | 1993-02-15 | 1993-03-24 | TAKE BACK RETURN | AIR | ckly even platelets against
51813 | 162676 | 7709 | 5 | 26 | 45205.42 | 0.04 | 0.01 | A | F | 1993-03-20 | 1993-02-04 | 1993-04-06 | TAKE BACK RETURN | FOB | lly dependencies. accounts solve fu
54277 | 140478 | 5507 | 2 | 19 | 28850.93 | 0.03 | 0.07 | A | F | 1993-03-20 | 1993-03-19 | 1993-04-13 | COLLECT COD | SHIP | pinto beans are 
56644 | 153716 | 3717 | 4 | 35 | 61939.85 | 0.05 | 0.05 | A | F | 1993-03-20 | 1993-02-13 | 1993-04-09 | NONE | TRUCK | fully quickly 
58502 | 61796 | 4303 | 2 | 48 | 84373.92 | 0.09 | 0.06 | A | F | 1993-03-20 | 1993-04-24 | 1993-04-19 | DELIVER IN PERSON | MAIL | es? fluffily final pearls hagg
61255 | 155323 | 2869 | 3 | 36 | 49619.52 | 0.00 | 0.02 | R | F | 1993-03-20 | 1993-02-09 | 1993-04-07 | COLLECT COD | AIR | l deposits above
62342 | 115229 | 2763 | 2 | 10 | 12442.2 | 0.07 | 0.04 | R | F | 1993-03-20 | 1993-05-23 | 1993-03-23 | NONE | AIR |  packages are carefully slyly fi
63872 | 131645 | 4159 | 6 | 22 | 36886.08 | 0.01 | 0.03 | R | F | 1993-03-20 | 1993-03-09 | 1993-04-08 | TAKE BACK RETURN | TRUCK | ironic, regular accounts x-ray among the ca
64967 | 74416 | 6924 | 2 | 29 | 40321.89 | 0.05 | 0.05 | R | F | 1993-03-20 | 1993-05-01 | 1993-04-19 | COLLECT COD | TRUCK | ding accounts nag 
67072 | 82866 | 5375 | 3 | 31 | 57314.66 | 0.06 | 0.02 | R | F | 1993-03-20 | 1993-02-28 | 1993-04-03 | TAKE BACK RETURN | FOB | usly fluffil
72517 | 573 | 5574 | 7 | 34 | 50101.38 | 0.00 | 0.04 | A | F | 1993-03-20 | 1993-04-04 | 1993-03-21 | TAKE BACK RETURN | RAIL | tealthy packages above the ironic pint
74305 | 116498 | 9010 | 2 | 23 | 34833.27 | 0.09 | 0.04 | A | F | 1993-03-20 | 1993-01-26 | 1993-03-22 | TAKE BACK RETURN | AIR | ncies boost along the carefully un
75136 | 185736 | 5737 | 1 | 42 | 76512.66 | 0.01 | 0.07 | A | F | 1993-03-20 | 1993-05-09 | 1993-04-12 | NONE | AIR | ep blithely enticingly bo
75171 | 176842 | 9360 | 1 | 29 | 55646.36 | 0.03 | 0.06 | A | F | 1993-03-20 | 1993-02-10 | 1993-03-26 | TAKE BACK RETURN | AIR | erve blithely caref
75175 | 25914 | 5915 | 2 | 37 | 68076.67 | 0.00 | 0.06 | A | F | 1993-03-20 | 1993-03-06 | 1993-04-12 | DELIVER IN PERSON | TRUCK | rts after the furiously regular multi
75522 | 122257 | 7282 | 4 | 50 | 63962.5 | 0.00 | 0.06 | A | F | 1993-03-20 | 1993-04-29 | 1993-04-13 | COLLECT COD | FOB | sly final packages. carefu
77474 | 60458 | 7977 | 1 | 4 | 5673.8 | 0.10 | 0.02 | R | F | 1993-03-20 | 1993-02-19 | 1993-04-19 | DELIVER IN PERSON | REG AIR | equests are. quickly dogge
82662 | 182974 | 8011 | 3 | 19 | 39082.43 | 0.01 | 0.00 | R | F | 1993-03-20 | 1993-03-27 | 1993-04-11 | DELIVER IN PERSON | TRUCK | ular decoys. closely spec
88034 | 21423 | 6428 | 2 | 35 | 47054.7 | 0.00 | 0.06 | A | F | 1993-03-20 | 1993-03-23 | 1993-03-21 | NONE | REG AIR |  instructions. unusual 
91489 | 122848 | 7873 | 4 | 47 | 87929.48 | 0.01 | 0.00 | A | F | 1993-03-20 | 1993-01-13 | 1993-04-06 | DELIVER IN PERSON | TRUCK | ular theodolites. 
92868 | 144071 | 4072 | 3 | 29 | 32337.03 | 0.10 | 0.00 | A | F | 1993-03-20 | 1993-02-08 | 1993-04-07 | TAKE BACK RETURN | REG AIR | cuses. slyly expr
96164 | 135294 | 321 | 1 | 1 | 1329.29 | 0.01 | 0.00 | A | F | 1993-03-20 | 1993-05-08 | 1993-03-31 | TAKE BACK RETURN | REG AIR | ake beyond the fluffily spec
96225 | 194427 | 1985 | 3 | 44 | 66942.48 | 0.04 | 0.07 | A | F | 1993-03-20 | 1993-03-30 | 1993-03-25 | COLLECT COD | REG AIR | al deposits. express, special pinto bean
99911 | 23046 | 553 | 1 | 46 | 44575.84 | 0.04 | 0.07 | R | F | 1993-03-20 | 1993-05-07 | 1993-04-11 | COLLECT COD | MAIL | osits haggle furiously slow dependencies. 
101539 | 41975 | 6984 | 5 | 21 | 40256.37 | 0.05 | 0.01 | A | F | 1993-03-20 | 1993-01-06 | 1993-03-23 | NONE | AIR | uriously quickly even pains. carefully 
11429 | 10030 | 2532 | 4 | 33 | 31020.99 | 0.06 | 0.00 | R | F | 1993-03-21 | 1993-05-06 | 1993-03-29 | NONE | MAIL | packages boost furious
12256 | 190364 | 7922 | 2 | 11 | 15997.96 | 0.02 | 0.04 | R | F | 1993-03-21 | 1993-02-11 | 1993-04-20 | COLLECT COD | TRUCK | xpress deposits thrash blithely about the
12582 | 106620 | 1641 | 1 | 23 | 37412.26 | 0.06 | 0.08 | A | F | 1993-03-21 | 1993-04-08 | 1993-04-08 | TAKE BACK RETURN | AIR | refully regular reque
16005 | 104392 | 6903 | 2 | 40 | 55855.6 | 0.01 | 0.01 | A | F | 1993-03-21 | 1993-03-02 | 1993-04-05 | NONE | SHIP | sly regular theodolites according
16357 | 128213 | 8214 | 1 | 45 | 55854.45 | 0.02 | 0.01 | A | F | 1993-03-21 | 1993-03-03 | 1993-04-02 | TAKE BACK RETURN | SHIP |  to the special, fi
17541 | 172767 | 7802 | 1 | 21 | 38634.96 | 0.06 | 0.06 | R | F | 1993-03-21 | 1993-04-27 | 1993-04-17 | DELIVER IN PERSON | SHIP | ar escapades haggle fina
19847 | 125184 | 5185 | 3 | 17 | 20556.06 | 0.10 | 0.02 | A | F | 1993-03-21 | 1993-03-24 | 1993-04-11 | DELIVER IN PERSON | SHIP | jole blithely among the even th
24896 | 135182 | 209 | 3 | 15 | 18257.7 | 0.01 | 0.03 | A | F | 1993-03-21 | 1993-04-12 | 1993-03-24 | TAKE BACK RETURN | TRUCK | lly patterns. blithely final foxes w
27973 | 21702 | 6707 | 2 | 48 | 77937.6 | 0.09 | 0.06 | A | F | 1993-03-21 | 1993-05-05 | 1993-04-13 | COLLECT COD | SHIP | ounts sleep. carefully 
28482 | 115145 | 5146 | 1 | 43 | 49886.02 | 0.08 | 0.06 | A | F | 1993-03-21 | 1993-05-20 | 1993-04-19 | DELIVER IN PERSON | SHIP | ing packages. even, fin
29156 | 171800 | 6835 | 2 | 28 | 52410.4 | 0.05 | 0.04 | A | F | 1993-03-21 | 1993-04-05 | 1993-03-28 | TAKE BACK RETURN | MAIL | s. blithely expres
34659 | 12519 | 7522 | 6 | 13 | 18609.63 | 0.01 | 0.07 | R | F | 1993-03-21 | 1992-12-22 | 1993-04-15 | DELIVER IN PERSON | REG AIR | phins alongside of the pe
47169 | 193382 | 5902 | 3 | 16 | 23606.08 | 0.01 | 0.06 | A | F | 1993-03-21 | 1993-05-06 | 1993-04-16 | COLLECT COD | TRUCK | as wake about the fluffily e
49632 | 114610 | 4611 | 4 | 13 | 21119.93 | 0.00 | 0.05 | A | F | 1993-03-21 | 1993-02-19 | 1993-04-07 | COLLECT COD | FOB | old request
57538 | 145851 | 5852 | 1 | 32 | 60699.2 | 0.01 | 0.05 | R | F | 1993-03-21 | 1993-05-13 | 1993-04-13 | DELIVER IN PERSON | TRUCK | egular packages. final accounts aft
57538 | 185749 | 8268 | 5 | 50 | 91737 | 0.04 | 0.08 | A | F | 1993-03-21 | 1993-05-21 | 1993-03-27 | TAKE BACK RETURN | MAIL |  sublate. slyly even deposits sleep
60103 | 42746 | 7755 | 3 | 20 | 33774.8 | 0.01 | 0.05 | A | F | 1993-03-21 | 1993-03-03 | 1993-03-28 | NONE | MAIL | ly ironic accounts! fluffily even inst
64480 | 133074 | 3075 | 3 | 10 | 11070.7 | 0.10 | 0.00 | R | F | 1993-03-21 | 1993-03-06 | 1993-04-12 | NONE | AIR | ly regular theodolites about
67072 | 194870 | 4871 | 1 | 18 | 35367.66 | 0.04 | 0.01 | R | F | 1993-03-21 | 1993-02-20 | 1993-04-02 | TAKE BACK RETURN | REG AIR | lyly furiously final deposits. 
70209 | 142818 | 361 | 6 | 8 | 14886.48 | 0.10 | 0.08 | R | F | 1993-03-21 | 1993-01-18 | 1993-04-16 | DELIVER IN PERSON | SHIP | y final dolphins. blithely ironic fo
80485 | 80464 | 2973 | 2 | 19 | 27444.74 | 0.02 | 0.05 | R | F | 1993-03-21 | 1993-03-02 | 1993-03-29 | DELIVER IN PERSON | MAIL | en requests x-ray carefully-- furiously 
81380 | 130384 | 7924 | 2 | 33 | 46674.54 | 0.05 | 0.01 | R | F | 1993-03-21 | 1993-01-13 | 1993-04-19 | NONE | SHIP | mong the per
82272 | 1055 | 3556 | 1 | 6 | 5736.3 | 0.05 | 0.08 | R | F | 1993-03-21 | 1993-01-25 | 1993-04-18 | COLLECT COD | REG AIR |  blithely final, ironic ideas. q
82272 | 111553 | 6576 | 6 | 22 | 34420.1 | 0.09 | 0.00 | A | F | 1993-03-21 | 1992-12-24 | 1993-03-30 | NONE | AIR | requests wake. final instruction
85251 | 28481 | 8482 | 1 | 3 | 4228.44 | 0.05 | 0.06 | A | F | 1993-03-21 | 1993-04-17 | 1993-03-30 | NONE | AIR | luffily regular ideas. deposits sleep
85984 | 49603 | 7116 | 1 | 39 | 60551.4 | 0.10 | 0.07 | A | F | 1993-03-21 | 1993-03-23 | 1993-04-10 | DELIVER IN PERSON | REG AIR | ar deposits.
87617 | 124926 | 2463 | 3 | 6 | 11705.52 | 0.01 | 0.08 | R | F | 1993-03-21 | 1993-05-25 | 1993-04-19 | NONE | FOB | yly express ideas cajole s
89443 | 106374 | 1395 | 3 | 13 | 17944.81 | 0.00 | 0.07 | A | F | 1993-03-21 | 1993-02-28 | 1993-04-20 | NONE | TRUCK | d deposits. 
92482 | 89174 | 1683 | 3 | 2 | 2326.34 | 0.04 | 0.04 | A | F | 1993-03-21 | 1993-05-08 | 1993-03-30 | NONE | SHIP | atelets haggle carefully s
92740 | 44477 | 6982 | 6 | 34 | 48329.98 | 0.01 | 0.08 | A | F | 1993-03-21 | 1993-03-02 | 1993-04-15 | TAKE BACK RETURN | MAIL | ironic deposits. blithely special asymptot
93216 | 47491 | 7492 | 1 | 39 | 56101.11 | 0.05 | 0.04 | A | F | 1993-03-21 | 1993-04-17 | 1993-03-22 | DELIVER IN PERSON | REG AIR | lly silent decoys against the furiousl
95905 | 58252 | 3263 | 1 | 40 | 48410 | 0.03 | 0.07 | R | F | 1993-03-21 | 1993-02-17 | 1993-04-16 | COLLECT COD | MAIL | ages cajole furiously. 
97153 | 6024 | 8525 | 4 | 29 | 26970.58 | 0.09 | 0.02 | A | F | 1993-03-21 | 1993-03-19 | 1993-04-09 | NONE | SHIP | al pinto beans slee
97828 | 91561 | 1562 | 3 | 10 | 15525.6 | 0.07 | 0.08 | R | F | 1993-03-21 | 1993-04-02 | 1993-04-12 | COLLECT COD | SHIP | ultipliers serve quickly pin
101538 | 60367 | 2874 | 2 | 21 | 27874.56 | 0.10 | 0.00 | A | F | 1993-03-21 | 1993-05-19 | 1993-03-27 | COLLECT COD | TRUCK | usly express instructio
5733 | 32868 | 2869 | 1 | 39 | 70233.54 | 0.01 | 0.07 | A | F | 1993-03-22 | 1993-05-24 | 1993-04-04 | DELIVER IN PERSON | FOB | side of the
7654 | 17248 | 7249 | 2 | 31 | 36122.44 | 0.02 | 0.01 | A | F | 1993-03-22 | 1993-04-29 | 1993-04-04 | DELIVER IN PERSON | FOB |  packages use closely. 
10341 | 37919 | 2926 | 1 | 8 | 14855.28 | 0.09 | 0.07 | R | F | 1993-03-22 | 1993-01-30 | 1993-04-20 | TAKE BACK RETURN | AIR | l dependencie
13158 | 132117 | 9657 | 2 | 24 | 27578.64 | 0.06 | 0.04 | R | F | 1993-03-22 | 1993-01-28 | 1993-03-27 | COLLECT COD | MAIL | furiously against the iron
15014 | 67958 | 2971 | 5 | 33 | 63556.35 | 0.01 | 0.03 | A | F | 1993-03-22 | 1993-04-05 | 1993-04-19 | NONE | REG AIR | al, unusual deposit
18853 | 93995 | 9014 | 1 | 12 | 23867.88 | 0.05 | 0.07 | R | F | 1993-03-22 | 1993-02-25 | 1993-04-20 | TAKE BACK RETURN | REG AIR | instructions. furious
19329 | 146691 | 6692 | 1 | 26 | 45179.94 | 0.10 | 0.02 | R | F | 1993-03-22 | 1993-04-20 | 1993-04-05 | NONE | AIR | usual packages
21574 | 31813 | 1814 | 2 | 4 | 6979.24 | 0.02 | 0.02 | R | F | 1993-03-22 | 1993-04-03 | 1993-03-23 | NONE | FOB | n instructions.
29282 | 112590 | 7613 | 4 | 17 | 27244.03 | 0.00 | 0.05 | R | F | 1993-03-22 | 1993-02-21 | 1993-04-20 | COLLECT COD | RAIL | nal requests solve
29505 | 65457 | 5458 | 6 | 34 | 48363.3 | 0.02 | 0.02 | A | F | 1993-03-22 | 1993-02-14 | 1993-04-12 | NONE | REG AIR | . deposits dazzle according to the 
30690 | 72322 | 4830 | 1 | 44 | 56950.08 | 0.05 | 0.02 | R | F | 1993-03-22 | 1993-04-12 | 1993-04-04 | COLLECT COD | AIR | the packages wake careful
34599 | 50990 | 6001 | 2 | 43 | 83462.57 | 0.05 | 0.04 | A | F | 1993-03-22 | 1993-05-29 | 1993-04-19 | COLLECT COD | MAIL | lyly quick requests according
37541 | 163201 | 3202 | 2 | 37 | 46775.4 | 0.09 | 0.06 | R | F | 1993-03-22 | 1993-04-07 | 1993-04-19 | TAKE BACK RETURN | RAIL | ic ideas hagg
39110 | 186245 | 1282 | 1 | 42 | 55912.08 | 0.09 | 0.03 | R | F | 1993-03-22 | 1993-04-28 | 1993-03-24 | DELIVER IN PERSON | TRUCK | sleep above the pending p
56772 | 196860 | 1899 | 5 | 30 | 58705.8 | 0.07 | 0.03 | A | F | 1993-03-22 | 1993-03-15 | 1993-04-01 | COLLECT COD | TRUCK | ickly ironic deposits 
56835 | 142155 | 2156 | 3 | 41 | 49083.15 | 0.10 | 0.05 | A | F | 1993-03-22 | 1993-04-03 | 1993-04-04 | DELIVER IN PERSON | TRUCK | . furiously ironic exc
59590 | 151671 | 9217 | 7 | 14 | 24117.38 | 0.06 | 0.04 | A | F | 1993-03-22 | 1993-04-09 | 1993-04-15 | COLLECT COD | FOB | tegrate. daringly bold deposi
60294 | 96435 | 8945 | 1 | 42 | 60120.06 | 0.02 | 0.07 | A | F | 1993-03-22 | 1993-01-08 | 1993-04-11 | NONE | FOB | ites. pearls
62083 | 26079 | 6080 | 2 | 12 | 12060.84 | 0.07 | 0.00 | R | F | 1993-03-22 | 1993-04-01 | 1993-03-26 | DELIVER IN PERSON | MAIL | al instructions. blithely un
62852 | 122218 | 9755 | 7 | 40 | 49608.4 | 0.07 | 0.07 | R | F | 1993-03-22 | 1993-03-23 | 1993-04-21 | COLLECT COD | MAIL | nts. ironic accounts cajol
65955 | 192988 | 2989 | 1 | 34 | 70753.32 | 0.04 | 0.03 | R | F | 1993-03-22 | 1993-04-16 | 1993-04-07 | NONE | SHIP | ong the regular d
67971 | 59015 | 4026 | 1 | 26 | 25324.26 | 0.06 | 0.06 | R | F | 1993-03-22 | 1993-04-08 | 1993-03-25 | DELIVER IN PERSON | RAIL | to beans sleep care
74981 | 117668 | 180 | 4 | 1 | 1685.66 | 0.10 | 0.07 | A | F | 1993-03-22 | 1993-02-18 | 1993-04-07 | TAKE BACK RETURN | AIR | lyly blithely re
82790 | 20752 | 8259 | 1 | 17 | 28436.75 | 0.06 | 0.03 | A | F | 1993-03-22 | 1993-04-12 | 1993-04-17 | DELIVER IN PERSON | TRUCK | y ironic depo
83079 | 95006 | 7516 | 1 | 13 | 13013 | 0.06 | 0.01 | A | F | 1993-03-22 | 1993-01-16 | 1993-03-30 | COLLECT COD | REG AIR | ests boost carefully alongside of
84259 | 1719 | 9220 | 6 | 16 | 25931.36 | 0.06 | 0.04 | A | F | 1993-03-22 | 1993-03-15 | 1993-04-12 | COLLECT COD | AIR | t pearls. blithely unusual reques
86816 | 23372 | 5875 | 1 | 4 | 5181.48 | 0.06 | 0.06 | R | F | 1993-03-22 | 1993-04-08 | 1993-03-26 | TAKE BACK RETURN | FOB | bold foxes. request
92740 | 6248 | 8749 | 4 | 33 | 38089.92 | 0.09 | 0.03 | A | F | 1993-03-22 | 1993-03-07 | 1993-04-08 | DELIVER IN PERSON | MAIL | ffily final d
92868 | 168564 | 6113 | 1 | 38 | 62037.28 | 0.03 | 0.08 | R | F | 1993-03-22 | 1993-01-25 | 1993-04-17 | TAKE BACK RETURN | SHIP | posits use. 
93121 | 93290 | 818 | 4 | 48 | 61597.92 | 0.07 | 0.07 | R | F | 1993-03-22 | 1993-02-13 | 1993-03-23 | COLLECT COD | AIR | osits haggle blithely ironic fox
99271 | 67483 | 7484 | 1 | 49 | 71073.52 | 0.02 | 0.02 | A | F | 1993-03-22 | 1993-02-20 | 1993-04-18 | TAKE BACK RETURN | AIR | eans. slyly express theodolite
8544 | 55575 | 3091 | 3 | 6 | 9183.42 | 0.07 | 0.07 | A | F | 1993-03-23 | 1993-04-03 | 1993-04-02 | COLLECT COD | SHIP |  blithely sil
10913 | 66990 | 4509 | 1 | 27 | 52838.73 | 0.10 | 0.02 | A | F | 1993-03-23 | 1993-04-26 | 1993-04-10 | TAKE BACK RETURN | AIR | blithely special, ironic 
13732 | 180264 | 265 | 3 | 40 | 53770.4 | 0.02 | 0.07 | A | F | 1993-03-23 | 1993-02-19 | 1993-04-04 | NONE | MAIL | y even instruc
14406 | 96844 | 1863 | 3 | 24 | 44180.16 | 0.04 | 0.01 | A | F | 1993-03-23 | 1993-04-18 | 1993-04-16 | TAKE BACK RETURN | TRUCK | e accounts. pending, special instructi
22886 | 87081 | 2098 | 2 | 31 | 33110.48 | 0.03 | 0.06 | R | F | 1993-03-23 | 1993-03-01 | 1993-04-19 | DELIVER IN PERSON | FOB |  close deposits cajole after the quickly 
29604 | 36682 | 4192 | 2 | 38 | 61509.84 | 0.07 | 0.00 | A | F | 1993-03-23 | 1993-03-16 | 1993-04-17 | NONE | RAIL | e furiously silent accounts detect
29892 | 178747 | 8748 | 5 | 32 | 58423.68 | 0.10 | 0.07 | A | F | 1993-03-23 | 1993-02-01 | 1993-03-26 | TAKE BACK RETURN | REG AIR | thely. care
35812 | 189946 | 9947 | 1 | 34 | 69221.96 | 0.10 | 0.07 | A | F | 1993-03-23 | 1993-03-15 | 1993-03-26 | NONE | TRUCK | ly ironic requests
36096 | 4554 | 2055 | 2 | 28 | 40839.4 | 0.03 | 0.06 | A | F | 1993-03-23 | 1993-03-20 | 1993-03-29 | DELIVER IN PERSON | AIR | ilent accounts. furiously regular deposi
36737 | 114152 | 1686 | 6 | 16 | 18658.4 | 0.00 | 0.01 | A | F | 1993-03-23 | 1993-04-21 | 1993-03-31 | NONE | FOB | equests sleep b
40645 | 102992 | 5503 | 4 | 11 | 21944.89 | 0.05 | 0.06 | R | F | 1993-03-23 | 1993-02-11 | 1993-04-09 | DELIVER IN PERSON | MAIL | heodolites sleep ev
42528 | 113455 | 5967 | 6 | 40 | 58738 | 0.08 | 0.06 | A | F | 1993-03-23 | 1993-04-18 | 1993-04-12 | TAKE BACK RETURN | RAIL | nt, ironic accounts boos
44290 | 66800 | 4319 | 4 | 1 | 1766.8 | 0.00 | 0.04 | R | F | 1993-03-23 | 1993-06-12 | 1993-03-26 | DELIVER IN PERSON | SHIP | al dependencies. slyly regular pac
46855 | 50501 | 8017 | 4 | 7 | 10160.5 | 0.09 | 0.04 | R | F | 1993-03-23 | 1993-05-11 | 1993-04-09 | NONE | SHIP |  regular, close requests haggl
49636 | 183253 | 3254 | 5 | 21 | 28061.25 | 0.02 | 0.00 | A | F | 1993-03-23 | 1993-03-04 | 1993-04-12 | TAKE BACK RETURN | TRUCK |  across the final instruction
49798 | 169505 | 2022 | 3 | 30 | 47235 | 0.04 | 0.01 | A | F | 1993-03-23 | 1993-03-04 | 1993-04-18 | COLLECT COD | RAIL |  regular, unusual requests boo
55394 | 26899 | 4406 | 4 | 23 | 41995.47 | 0.04 | 0.07 | A | F | 1993-03-23 | 1993-04-11 | 1993-04-14 | COLLECT COD | FOB | ts cajole. blithely pendin
56327 | 144680 | 7195 | 7 | 24 | 41392.32 | 0.08 | 0.05 | R | F | 1993-03-23 | 1993-03-10 | 1993-04-13 | COLLECT COD | TRUCK | ove the slyly pending accounts. slyly u
56707 | 26592 | 6593 | 1 | 10 | 15185.9 | 0.03 | 0.05 | A | F | 1993-03-23 | 1993-02-09 | 1993-04-16 | NONE | TRUCK | tect above the quickly
56707 | 115383 | 406 | 2 | 42 | 58731.96 | 0.04 | 0.08 | A | F | 1993-03-23 | 1993-03-06 | 1993-03-25 | NONE | FOB | t, regular packages. b
56708 | 61655 | 4162 | 5 | 11 | 17783.15 | 0.09 | 0.07 | R | F | 1993-03-23 | 1993-01-08 | 1993-03-24 | NONE | TRUCK | s cajole blit
59239 | 110263 | 5286 | 2 | 22 | 28011.72 | 0.01 | 0.04 | A | F | 1993-03-23 | 1993-04-17 | 1993-04-09 | COLLECT COD | TRUCK | ironic requests boost
59685 | 38552 | 3559 | 1 | 44 | 65584.2 | 0.07 | 0.00 | R | F | 1993-03-23 | 1993-02-06 | 1993-03-30 | NONE | TRUCK | atelets. furiously sly dep
61383 | 91999 | 4509 | 3 | 9 | 17918.91 | 0.03 | 0.00 | A | F | 1993-03-23 | 1993-05-19 | 1993-03-26 | NONE | RAIL |  carefully quickly brave Tiresias. carefu
65030 | 120298 | 2811 | 1 | 10 | 13182.9 | 0.07 | 0.07 | A | F | 1993-03-23 | 1993-05-11 | 1993-03-29 | DELIVER IN PERSON | RAIL | slyly express requests impress
71300 | 36093 | 6094 | 1 | 5 | 5145.45 | 0.06 | 0.04 | R | F | 1993-03-23 | 1993-03-11 | 1993-04-15 | NONE | TRUCK | final instructions haggle sometimes sile
75872 | 1613 | 1614 | 2 | 46 | 69672.06 | 0.04 | 0.08 | R | F | 1993-03-23 | 1993-04-09 | 1993-04-17 | TAKE BACK RETURN | MAIL | ar notorni
77831 | 199902 | 4941 | 2 | 11 | 22020.9 | 0.10 | 0.00 | R | F | 1993-03-23 | 1993-04-24 | 1993-03-29 | TAKE BACK RETURN | SHIP | kly pending plate
83713 | 131643 | 1644 | 1 | 7 | 11722.48 | 0.09 | 0.03 | A | F | 1993-03-23 | 1993-06-03 | 1993-04-06 | DELIVER IN PERSON | AIR |  ideas are specia
85254 | 19838 | 2340 | 4 | 43 | 75586.69 | 0.05 | 0.01 | R | F | 1993-03-23 | 1993-01-28 | 1993-03-28 | COLLECT COD | RAIL | . blithely final braids about t
96164 | 62541 | 7554 | 4 | 15 | 22553.1 | 0.02 | 0.05 | R | F | 1993-03-23 | 1993-05-08 | 1993-03-26 | COLLECT COD | MAIL | tain fluffily express ac
2305 | 173979 | 6497 | 1 | 3 | 6158.91 | 0.00 | 0.01 | A | F | 1993-03-24 | 1993-04-05 | 1993-03-29 | NONE | AIR | kages haggle quickly across the blithely 
2592 | 65700 | 3219 | 2 | 2 | 3331.4 | 0.10 | 0.00 | A | F | 1993-03-24 | 1993-04-05 | 1993-04-16 | DELIVER IN PERSON | RAIL | side of the b
8803 | 7891 | 5392 | 5 | 43 | 77352.27 | 0.01 | 0.06 | R | F | 1993-03-24 | 1993-03-18 | 1993-04-11 | TAKE BACK RETURN | AIR | e slyly ir
9605 | 187052 | 4607 | 1 | 22 | 25059.1 | 0.04 | 0.02 | R | F | 1993-03-24 | 1993-02-08 | 1993-04-01 | TAKE BACK RETURN | MAIL |  haggle fluffily. blithely final
21505 | 52586 | 102 | 6 | 50 | 76929 | 0.06 | 0.05 | R | F | 1993-03-24 | 1993-02-16 | 1993-04-09 | COLLECT COD | RAIL | unts. slyly regular requests sleep 
